orf_id	name	start	end	strand	length
NP_010713.1	SNX41		1320064	1321941	D	1878
NP_010715.3	RPN9		1322205	1323386	D	1182
NP_010716.3	BNA7		1323454	1324239	R	786
NP_010717.1	TIF35		1324477	1325301	R	825
NP_010718.1	CYM1		1325501	1328470	R	2970
NP_010720.3	NPL3		1328783	1330027	D	1245
NP_010722.3	GPI17		1331237	1332841	D	1605
NP_010723.1	PPM1		1332983	1333969	R	987
NP_010724.1	PPZ2		1334821	1336953	D	2133
NP_010725.3	GPI19		1337352	1337774	D	423
NP_010726.3	THI74		1338274	1339386	D	1113
NP_010727.1	LRS4		1339676	1340719	D	1044
NP_010728.1	DOT1		1342493	1344241	D	1749
NP_010729.3	APT2		1344517	1345062	R	546
NP_010731.3	SSN2		1345676	1349938	R	4263
NP_010732.1	YDR444W		1350290	1352353	D	2064
NP_010734.1	ECM11		1353725	1354633	D	909
NP_010735.3	RPS17B		1354829	1355553	R	725
NP_010736.3	ADA2		1356065	1357369	D	1305
NP_010737.1	UTP6		1357580	1358902	R	1323
NP_010738.1	RPS18A		1359923	1360798	D	876
NP_010739.3	YHP1		1361120	1362181	R	1062
NP_010740.3	PPN1		1362878	1364902	D	2025
NP_010741.1	TSA2		1365072	1365662	R	591
NP_010742.1	GUK1		1366264	1366827	R	564
NP_010744.3	NHX1		1367485	1369386	D	1902
NP_010745.3	TOM1		1369790	1379596	D	9807
NP_010746.1	HEH2		1380055	1382046	R	1992
NP_010747.1	PFA5		1382319	1383443	R	1125
NP_010748.3	TFB3		1383811	1384776	D	966
NP_010749.3	MFA1		1385176	1385286	D	111
NP_001032577.1	YDR461C-A		1385524	1385766	R	243
NP_010750.1	MRPL28		1386073	1386516	D	444
NP_010751.4	STP1		1386816	1388375	D	1560
NP_010752.3	SPP41		1388872	1393179	D	4308
NP_010753.1	RMT2		1393336	1394574	R	1239
NP_010754.1	PKH3		1395121	1397817	D	2697
NP_010756.3	TLG1		1398026	1398700	R	675
NP_010757.3	SDC1		1399015	1399542	D	528
NP_010758.3	UGO1		1399706	1401214	R	1509
NP_010759.1	RPL27B		1401770	1402564	D	795
NP_010760.3	TRS31		1403322	1404173	D	852
NP_010761.3	PRP3		1404445	1405854	R	1410
NP_010763.2	JIP4		1407464	1410094	R	2631
NP_010764.1	YDR476C		1410453	1411127	R	675
NP_010765.3	SNF1		1412373	1414274	D	1902
NP_010766.3	SNM1		1414575	1415171	D	597
NP_010767.1	PEX29		1415210	1416874	R	1665
NP_010768.1	DIG2		1417399	1418370	D	972
NP_010769.3	PHO8		1418550	1420250	R	1701
NP_010770.3	CWC21		1420431	1420838	R	408
NP_010771.1	KRE2		1421157	1422485	D	1329
NP_010772.1	VPS52		1422763	1424688	D	1926
NP_010773.4	VPS72		1424820	1427207	R	2388
NP_010774.4	VPS60		1427431	1428120	R	690
NP_010775.1	RIB3		1428354	1428980	R	627
NP_010776.1	PAC11		1429188	1430789	R	1602
NP_010777.3	SLD5		1431012	1431896	D	885
NP_010778.3	PKH1		1431968	1434268	R	2301
NP_010780.1	IZH1		1434924	1435874	D	951
NP_010781.1	MZM1		1436217	1436588	D	372
NP_010782.4	RSM28		1436930	1438015	D	1086
NP_010783.3	VPS3		1438115	1441150	R	3036
NP_010784.1	PUF6		1441433	1443403	R	1971
NP_010785.1	ITR1		1443713	1445467	R	1755
NP_010786.3	SEC20		1445843	1446994	R	1152
NP_010787.3	LCD1		1447830	1450073	D	2244
NP_010788.1	RPL37B		1450198	1450853	R	656
NP_010789.1	PLM2		1451353	1452918	D	1566
NP_010790.3	SAM2		1453310	1454464	R	1155
NP_010791.3	LPP1		1455042	1455866	R	825
NP_010792.1	SPG3		1456311	1456694	R	384
NP_010793.2	PSP1		1456695	1459220	R	2526
NP_010794.3	GMC1		1459728	1461554	R	1827
NP_010795.3	GIN4		1462358	1465786	R	3429
NP_010796.1	GNP1		1466453	1468444	R	1992
NP_010798.1	SMT3		1469400	1469705	D	306
NP_010799.3	ACN9		1470017	1470418	D	402
NP_010800.3	EMI1		1470500	1471063	R	564
NP_010801.1	GRX2		1471017	1471448	D	432
NP_010802.1	YDR514C		1471548	1472999	R	1452
NP_010803.3	SLF1		1473429	1474772	D	1344
NP_010804.3	EMI2		1474974	1476476	R	1503
NP_010805.1	GRH1		1477239	1478357	D	1119
NP_010806.1	EUG1		1478608	1480161	D	1554
NP_010807.3	FPR2		1480425	1480832	D	408
NP_010808.3	URC2		1481085	1483403	R	2319
NP_010810.1	SPS2		1483795	1485303	R	1509
NP_010811.1	SPS1		1485566	1487038	R	1473
NP_010812.3	AGE1		1487542	1488990	R	1449
NP_878066.3	YDR524W-C		1489403	1489492	D	90
NP_878067.1	YDR524C-B		1489598	1489798	R	201
NP_010814.1	SNA2		1490596	1490835	D	240
NP_010816.4	RBA50		1491094	1492413	D	1320
NP_010817.3	HLR1		1494586	1495857	D	1272
NP_010818.1	QCR7		1496165	1496548	R	384
NP_010819.1	APA2		1496791	1497768	R	978
NP_010820.3	CAB1		1498232	1499335	D	1104
NP_010821.3	KRE28		1499396	1500553	R	1158
NP_010822.1	HSP31		1501447	1502160	R	714
NP_010823.1	FIT1		1503314	1504900	R	1587
NP_010825.3	STL1		1508005	1509714	D	1710
NP_010827.3	PAD1		1510902	1511630	D	729
NP_010828.1	FDC1		1512094	1513605	D	1512
NP_010829.1	IRC4		1517136	1517675	R	540
NP_010830.4	YDR541C		1519664	1520698	R	1035
NP_010831.3	PAU10		1523249	1523611	D	363
NP_010834.1	YRF1-1		1526321	1531711	D	5391
NP_010835.1	YEL077C		264	4097	R	3834
NP_010836.1	YEL076C-A		4185	5114	R	930
NP_010837.1	YEL076C		4464	5114	R	651
NP_010839.1	YEL075C		5345	5713	R	369
NP_010841.1	YEL073C		7230	7553	R	324
NP_010842.1	RMD6		13720	14415	D	696
NP_010843.1	DLD3		16355	17845	D	1491
NP_010844.1	DSF1		19589	21097	D	1509
NP_010845.1	HXT13		21537	23231	R	1695
NP_001257672.1	YEL068C		25646	25978	R	333
NP_010847.1	YEL067C		26189	26776	R	588
NP_010848.1	HPA3		26667	27206	D	540
NP_010849.3	SIT1		27657	29543	D	1887
NP_010850.1	AVT2		29797	31239	R	1443
NP_010851.1	CAN1		31694	33466	R	1773
NP_010852.4	NPR2		34407	36254	D	1848
NP_010853.2	CIN8		36535	39537	R	3003
NP_010854.1	PRB1		40046	41953	R	1908
NP_058154.3	SOM1		42400	42624	R	225
NP_010856.1	PCM1		43252	44925	D	1674
NP_010857.1	YEL057C		45020	45721	R	702
NP_010858.3	HAT2		47168	48373	D	1206
NP_010859.1	POL5		48471	51539	R	3069
NP_010860.1	RPL12A		52721	53218	R	498
NP_010861.3	MAK10		53901	56102	R	2202
NP_010862.1	AFG1		56571	58100	D	1530
NP_010863.1	VMA8		58378	59148	D	771
NP_010864.3	RML2		59670	60851	R	1182
NP_010865.1	PAU2		63728	64090	D	363
NP_010866.1	TCA17		64709	65167	R	459
NP_010867.3	FRD1		65385	66797	R	1413
NP_010868.1	GLY1		67629	68792	R	1164
NP_010870.1	IES6		69757	70257	D	501
NP_010871.3	YEL043W		70478	73348	D	2871
NP_010872.1	GDA1		73771	75327	D	1557
NP_010873.1	YEF1		75944	77431	D	1488
NP_010874.3	UTR2		78053	79456	D	1404
NP_010875.1	CYC7		79636	79977	R	342
NP_010876.2	UTR4		80462	81145	D	684
NP_010877.3	RAD23		81407	82603	R	1197
NP_010878.1	ANP1		83050	84552	R	1503
NP_010879.1	UTR5		85045	85545	R	501
NP_010880.3	HYP2		85676	86149	D	474
NP_010881.1	MTC7		86179	86598	D	420
NP_010882.1	MCM3		86937	89852	D	2916
NP_010883.3	SPF1		90258	93905	D	3648
NP_010884.1	ECM10		94644	96578	D	1935
NP_010885.1	BUD16		96858	97796	R	939
NP_010887.3	VMA3		100769	101251	D	483
NP_010888.1	SNU13		101943	102323	D	381
NP_010889.1	YEL025C		102581	106147	R	3567
NP_010890.3	RIP1		107260	107907	D	648
NP_010891.1	YEL023C		108504	110552	R	2049
NP_010892.1	GEA2		111421	115800	D	4380
NP_010893.3	URA3		116167	116970	D	804
NP_010894.1	TIM9		117211	117474	D	264
NP_010895.1	YEL020C		118617	120299	R	1683
NP_010896.3	MMS21		120498	121301	R	804
NP_010897.1	EAF5		121471	122310	D	840
NP_010898.1	PMP2		122798	122929	R	132
NP_010899.3	GTT3		123657	124670	D	1014
NP_010900.1	NPP2		124737	126218	R	1482
NP_010901.1	EDC3		126629	128284	D	1656
NP_010903.3	VAC8		128825	130561	D	1737
NP_010904.2	UBC8		131772	132551	D	780
NP_010905.1	GLC3		133120	135234	D	2115
NP_010907.3	GCN4		138918	139763	R	846
NP_010909.1	MIT1		141892	143892	D	2001
NP_010910.1	YEA6		144327	145334	D	1008
NP_010911.3	VAB2		145907	146755	R	849
NP_010912.1	YEA4		146951	147979	D	1029
NP_010913.2	GIM4		148176	148599	D	424
NP_010914.3	WBP1		148722	150014	R	1293
NP_010915.1	IRC22		150301	150978	R	678
NP_010916.1	MNN1		153520	155808	D	2289
NP_010917.3	NOP16		156803	157498	D	696
NP_010918.1	PMI40		157736	159118	R	1383
NP_010919.1	FMP52		159580	160275	D	696
NP_010920.3	YND1		160550	162442	D	1893
NP_010921.1	NUG1		162723	164285	D	1563
NP_010922.1	PAC2		164527	166083	D	1557
NP_010923.3	TMA20		166237	166885	R	649
NP_010924.1	SEC3		167808	171818	R	4011
NP_010925.1	NTF2		172115	172492	D	378
NP_010926.3	YER010C		172634	173338	R	705
NP_010927.1	TIR1		175248	176012	D	765
NP_010928.1	PRE1		177835	178431	D	597
NP_010929.3	PRP22		178841	182278	D	3438
NP_010930.1	HEM14		182600	184219	D	1620
NP_076437.1	BUD25		183731	184700	R	970
NP_010931.3	FAA2		184541	186775	D	2235
NP_010932.1	BIM1		188277	189311	D	1035
NP_010933.1	AFG3		189503	191788	R	2286
NP_010934.3	SPC25		191959	192624	R	666
NP_010935.1	ISC1		192797	194230	D	1434
NP_010936.1	SBH2		194273	194539	R	267
NP_010937.3	GPA2		195168	196517	D	1350
NP_010938.1	RPN3		196948	198519	D	1572
NP_010939.1	SRB4		198812	200875	D	2064
NP_010940.3	PRO3		201076	201936	D	861
NP_010941.1	YAT2		202192	204963	D	2772
NP_010942.1	GCD11		205251	206834	D	1584
NP_010943.3	CHO1		207644	208474	R	831
NP_010944.1	GAL83		208979	210232	R	1254
NP_010945.1	MIG3		210692	211876	R	1185
NP_010946.3	SMB1		212587	213177	R	591
NP_010947.2	CHZ1		213437	213898	D	462
NP_010948.1	YPT31		214076	214747	R	672
NP_010949.4	FIR1		215063	217693	D	2631
NP_010950.1	ZRG8		218057	221287	R	3231
NP_010951.1	YER034W		221846	222403	D	558
NP_010952.3	EDC2		222639	223076	D	438
NP_010953.1	ARB1		223367	225199	R	1833
NP_010954.1	PHM8		225889	226854	D	966
NP_010955.3	KRE29		226858	228252	R	1395
NP_010956.1	HVG1		228456	229205	R	750
NP_010957.1	YER039C-A		229263	229481	R	219
NP_010958.3	GLN3		229795	231987	D	2193
NP_010959.2	YEN1		232461	234740	D	2280
NP_010960.1	MXR1		234937	235491	D	555
NP_010961.3	SAH1		235770	237119	R	1350
NP_010962.1	ERG28		237570	238016	R	447
NP_010963.1	MEI4		238460	239774	R	1315
NP_010964.3	ACA1		240032	241501	R	1470
NP_010965.1	SPO73		243180	243611	D	432
NP_010966.1	SAP1		243810	246503	R	2694
NP_010967.3	CAJ1		246982	248157	R	1176
NP_010968.1	ISD11		250718	251002	D	285
NP_010969.1	TPA1		251728	253662	D	1935
NP_010970.4	RSM18		253971	254387	R	417
NP_010971.1	JHD1		254656	256134	D	1479
NP_010972.1	HOM3		256375	257958	R	1584
NP_010973.3	PIC2		258737	259639	R	903
NP_061492.1	YER053C-A		260933	261046	R	114
NP_010974.1	GIP2		262052	263698	R	1647
NP_010975.3	HIS1		264892	265785	R	894
NP_010976.1	FCY2		266512	268113	R	1602
NP_010977.2	RPL34A		269423	270185	R	763
NP_010978.3	HMF1		270737	271126	R	390
NP_010979.1	PET117		271768	272091	D	324
NP_010980.1	PCL6		272624	273886	D	1263
NP_010981.3	FCY21		274567	276153	D	1587
NP_010982.1	FCY22		276572	278164	D	1593
NP_010983.2	CEM1		278298	279626	R	1329
NP_010984.3	HOR2		279930	280682	R	753
NP_010985.1	THO1		281710	282366	D	657
NP_010986.1	VHR2		282705	284222	R	1518
NP_010987.3	ICL1		285241	286914	R	1674
NP_010988.1	RRT13		290242	290799	D	558
NP_010990.1	RGI1		292066	292551	D	486
NP_010991.3	MOT2		293050	294813	D	1764
NP_010992.1	ARG5,6		295410	298001	D	2592
NP_010993.1	RNR1		298950	301616	D	2667
NP_010994.3	TDA2		301947	302327	R	381
NP_010995.1	VTC1		302806	303195	D	390
NP_010996.2	ALD5		304030	305592	D	1563
NP_010997.3	RPS24A		306323	307196	D	874
NP_219496.2	YOS1		307653	308123	D	471
NP_010998.2	PTP3		308413	311199	R	2787
NP_010999.3	YER076C		312590	313498	R	909
NP_011000.1	YER077C		314534	316600	R	2067
NP_011001.1	ICP55		316807	318342	R	1536
NP_878068.3	YER078W-A		318646	318810	D	165
NP_011002.1	YER079W		318920	319552	D	633
NP_011003.1	AIM9		319963	321846	D	1884
NP_011004.3	SER3		322686	324095	D	1410
NP_011005.1	UTP7		324272	325936	R	1665
NP_011006.2	GET2		326174	327031	R	858
NP_001257673.1	YER084W		327065	327451	D	387
NP_011008.3	YER085C		327619	328140	R	522
NP_011009.1	ILV1		328477	330207	D	1731
NP_011010.1	AIM10		330576	332306	D	1731
NP_011011.3	SBH1		332582	332830	R	249
NP_011012.3	DOT6		333176	335188	R	2013
NP_011013.1	PTC2		335946	337340	R	1395
NP_011014.1	TRP2		337949	339472	D	1524
NP_011015.3	MET6		339864	342167	R	2304
NP_011017.3	IES5		342855	343232	D	378
NP_011018.1	TSC11		343320	347612	R	4293
NP_011019.1	AIM11		347912	348400	R	489
NP_011020.3	PUP3		348729	349346	R	618
NP_011021.3	RAD51		349980	351182	D	1203
NP_011022.1	SHC1		351698	353236	D	1539
NP_011024.1	UBP9		355466	357730	D	2265
NP_011025.3	PRS2		358105	359061	R	957
NP_011026.3	UBC6		359562	360314	D	753
NP_011027.1	AST2		360502	361794	R	1293
NP_011028.1	RPS8B		363100	363702	D	603
NP_011029.3	SSA4		364589	366517	D	1929
NP_011030.3	RTT105		366802	367428	D	627
NP_011031.1	NUP157		367838	372013	R	4176
NP_011032.1	MAM1		372326	373234	D	909
NP_011033.3	GLE2		373448	374545	R	1098
NP_011034.3	FLO8		375215	377614	R	2400
NP_011035.1	KAP123		378762	382103	R	3342
NP_011036.1	SWI4		382595	385876	R	3282
NP_011037.3	LSM4		387232	387795	D	564
NP_011038.3	TMN3		387932	390052	R	2121
NP_011039.1	BOI2		390590	393712	R	3123
NP_011040.1	SPR6		394292	394867	R	576
NP_011041.3	SLX8		395348	396172	R	825
NP_011042.3	RPL23B		396769	397653	D	885
NP_011043.1	SHO1		397952	399055	R	1104
NP_011044.1	AVT6		399496	400842	R	1347
NP_011046.3	SCS2		401135	401869	D	735
NP_011047.3	YER121W		402375	402719	D	345
NP_011048.1	GLO3		402871	404352	R	1482
NP_011049.2	YCK3		404813	406387	D	1575
NP_011050.3	DSE1		407342	409063	R	1722
NP_011051.3	RSP5		410189	412618	D	2430
NP_011052.1	NSA2		413394	414179	R	786
NP_011053.1	LCP5		414481	415554	D	1074
NP_011054.3	VFA1		415859	416470	D	612
NP_011055.3	SAK1		417281	420709	D	3429
NP_011056.1	YER130C		421115	422446	R	1332
NP_011057.1	RPS26B		423952	424311	D	360
NP_011058.3	PMD1		425188	430449	R	5262
NP_011059.3	GLC7		432495	433958	D	1464
NP_011060.1	YER134C		437267	437803	R	537
NP_011062.1	GDI1		439616	440971	D	1356
NP_011063.3	YER137C		441373	441819	R	447
NP_011064.3	YER138C		443756	449024	R	5269
NP_058155.1	YER137C-A		447702	449024	R	1323
NP_011065.1	YER138W-A		449474	449578	D	105
NP_011066.3	RTR1		450563	451243	R	681
NP_011067.3	EMP65		451565	453235	D	1671
NP_011068.1	COX15		453459	454919	D	1461
NP_011069.1	MAG1		455146	456036	R	891
NP_011070.3	DDI1		456319	457605	D	1287
NP_011071.3	UBP5		457806	460223	R	2418
NP_011072.1	FTR1		460526	461740	R	1215
NP_011073.1	LSM5		462585	462866	D	282
NP_011074.3	SCC4		462968	464842	R	1875
NP_011075.3	SPT15		465303	466025	D	723
NP_011076.1	PEA2		466208	467470	R	1263
NP_011077.1	SPI1		468370	468816	D	447
NP_011078.3	UBP3		469686	472424	R	2739
NP_011079.3	YER152C		472657	473988	R	1332
NP_011080.1	PET122		474041	474805	R	765
NP_011081.1	OXA1		475020	476228	D	1209
NP_011082.3	BEM2		476345	482848	R	6504
NP_011083.3	YER156C		483325	484341	R	1017
NP_011084.1	COG3		484788	487193	D	2406
NP_011085.1	YER158C		488857	490578	R	1722
NP_011086.3	BUR6		491530	491958	R	429
NP_011087.3	YER160C		492856	498124	R	5269
NP_058156.1	YER159C-A		496802	498124	R	1323
NP_011088.1	SPT2		499347	500348	R	1002
NP_011089.4	RAD4		500630	502894	R	2265
NP_011090.3	GCG1		503084	503782	R	699
NP_011091.1	CHD1		505392	509798	D	4407
NP_011092.1	PAB1		510373	512106	D	1734
NP_011093.3	DNF1		512744	517459	D	4716
NP_011094.3	BCK2		518216	520771	D	2556
NP_011095.1	CCA1		521029	522669	R	1641
NP_011096.1	RPH1		523369	525759	D	2391
NP_011097.3	ADK2		525974	526651	D	678
NP_011098.3	RAD3		527082	529418	D	2337
NP_011099.1	BRR2		529530	536021	R	6492
NP_011100.1	RAD24		536300	538279	D	1980
NP_011101.3	GRX4		538434	539168	R	735
NP_011102.3	TMT1		539464	540363	R	900
NP_878069.1	YER175W-A		540650	540814	D	165
NP_011103.1	ECM32		541690	545055	D	3366
NP_011104.3	BMH1		545611	546414	D	804
NP_011105.4	PDA1		546817	548079	D	1263
NP_011106.1	DMC1		548421	549517	D	1097
NP_011107.1	ISC10		549724	550527	R	804
NP_796378.3	SLO1		550865	551122	R	258
NP_011109.3	FMP10		552525	553259	D	735
NP_011110.1	FAU1		553334	553969	R	636
NP_011111.1	YER184C		556296	558680	R	2385
NP_011112.3	PUG1		559454	560365	D	912
NP_011113.3	YER186C		561705	562625	R	921
NP_011114.1	YER187W		566230	566655	D	426
NP_878070.1	YER188C-A		569608	569907	R	300
NP_011116.3	YER189W		571155	571523	D	369
NP_011117.3	YRF1-2		571480	576525	D	5046
NP_001073292.1	YER190C-B		575680	576162	R	483
NP_116587.1	YFL068W		53	535	D	483
NP_116588.1	YFL067W		836	1363	D	528
NP_116589.1	YFL066C		1437	2615	R	1179
NP_116590.1	YFL065C		3030	3338	R	309
NP_116591.1	YFL064C		3322	3846	R	525
NP_116593.1	COS4		6426	7565	D	1140
NP_116594.1	DDI2		9545	10222	D	678
NP_116595.1	SNO3		10301	10969	R	669
NP_116596.1	SNZ3		11363	12259	D	897
NP_116597.1	THI5		12929	13951	D	1023
NP_116598.1	AAD16		14305	14763	R	459
NP_116599.1	AAD6		14793	15431	R	639
NP_116600.1	AGP3		17004	18680	D	1677
NP_116601.1	YFL054C		20847	22787	R	1941
NP_116602.1	DAK2		23423	25198	D	1776
NP_116603.1	YFL052W		28232	29629	D	1398
NP_116576.1	YFL051C		30058	30540	R	483
NP_116604.1	ALR2		33272	35848	R	2577
NP_116605.1	SWP82		36803	38674	D	1872
NP_116606.1	EMP47		38843	40180	R	1338
NP_428268.1	RGD2		40421	42565	D	2145
NP_116608.1	FMP32		42815	43438	D	624
NP_116609.1	SEC53		43628	44392	R	765
NP_116610.1	OTU1		44655	45560	R	906
NP_116611.1	YFL042C		45720	47744	R	2025
NP_878071.1	YFL041W-A		48734	48925	D	192
NP_116612.1	FET5		49139	51007	D	1869
NP_116613.1	YFL040W		51350	52972	D	1623
NP_116614.1	ACT1		53260	54696	R	1437
NP_116615.1	YPT1		55366	55986	R	621
NP_116616.1	TUB2		56336	57709	D	1374
NP_116617.1	RPO41		58782	62837	D	4056
NP_116618.1	MOB2		63016	63993	R	978
NP_116619.1	RPL22B		64243	64932	R	690
NP_116583.2	YFL034W		65477	68698	D	3222
NP_116620.1	RIM15		69115	74427	R	5313
NP_116622.1	HAC1		75179	76147	D	969
NP_116623.1	AGX1		76831	77988	D	1158
NP_116624.1	CAK1		78055	79161	R	1107
NP_116625.1	CAF16		79344	80213	R	870
NP_444296.1	GYP8		80419	81912	R	1494
NP_116627.2	STE2		82580	83875	D	1296
NP_116628.1	BST1		84145	87234	R	3090
NP_116629.1	EPL1		87847	90345	R	2499
NP_683715.1	BUD27		90986	93376	D	2391
NP_116631.1	FRS2		93499	95010	R	1512
NP_116632.1	GAT1		95966	97498	D	1533
NP_116633.1	PAU5		99231	99599	R	369
NP_116635.1	LPD1		101628	103127	R	1500
NP_116636.1	SMX2		103699	103932	D	234
NP_116637.1	GNA1		103983	104462	R	480
NP_116638.1	MDJ1		104701	106236	R	1536
NP_116640.1	HSP12		107256	107585	D	330
NP_116641.1	IES1		107852	109930	R	2079
NP_116643.1	YFL012W		110647	111093	D	447
NP_116644.1	HXT10		112345	113985	D	1641
NP_116645.1	AUA1		114990	115274	D	285
NP_570898.1	WWM1		115108	115743	R	636
NP_116585.1	CDC4		116145	118484	D	2340
NP_116647.1	SMC1		119429	123106	D	3678
NP_116648.2	BLM10		123479	129910	D	6432
NP_116650.1	SEC4		130334	130981	D	648
NP_116651.1	VTC2		131810	134296	D	2487
NP_116652.1	MSH4		134521	137157	R	2637
NP_116653.1	YFL002W-A		138204	143517	D	5314
NP_058157.1	YFL002W-B		138204	139520	D	1317
NP_116654.1	SPB4		145114	146934	R	1821
NP_116655.1	DEG1		147131	148459	D	1329
NP_116656.1	LOC1		149110	149724	D	615
NP_116657.1	NIC96		150016	152535	D	2520
NP_116658.1	YPI1		152657	153124	R	468
NP_116659.1	RPN11		153393	154313	D	921
NP_116660.1	SAD1		154527	155873	R	1347
NP_116661.1	YFR006W		156145	157752	D	1608
NP_116662.1	YFH7		159299	160360	D	1062
NP_116663.1	FAR7		160535	161200	D	666
NP_116664.1	GCN20		162488	164746	D	2259
NP_116665.1	UBP6		165067	166566	D	1500
NP_116666.1	AIM13		166746	167258	R	513
NP_116667.1	DCV1		167888	168496	D	609
NP_076889.1	YFR012W-A		169224	169310	D	87
NP_116668.1	IOC3		169922	172285	D	2364
NP_116669.1	CMK1		172537	173877	R	1341
NP_116670.1	GSY1		174265	176391	R	2127
NP_116671.1	YFR016C		177042	180743	R	3702
NP_116672.1	IGD1		182274	182861	R	588
NP_116673.1	YFR018C		183131	184222	R	1092
NP_116674.2	FAB1		184502	191338	D	6837
NP_001257674.1	YFR020W		192737	193435	D	699
NP_444297.1	ATG18		194812	196314	D	1503
NP_116677.3	ROG3		196833	199034	D	2202
NP_116678.1	PES4		199874	201709	D	1836
NP_219497.4	LSB3		201960	203433	R	1474
NP_116681.1	HIS2		203743	204750	R	1008
NP_116682.3	ULI1		205748	206257	R	510
NP_116683.1	ECO1		207452	208297	D	846
NP_116684.3	CDC14		208413	210068	R	1656
NP_116685.1	PTR3		210937	212973	D	2037
NP_116686.3	MET10		213312	216419	D	3108
NP_116687.1	SMC2		216594	220106	R	3513
NP_116688.3	RPL2A		220507	221418	R	912
NP_116689.1	RRT5		222090	222959	R	870
NP_116690.3	RPL29		223258	223437	R	180
NP_878072.1	YFR032C-B		223710	223973	R	264
NP_116691.3	QCR6		224326	224769	R	444
NP_116692.1	PHO4		225020	225958	R	939
NP_116693.3	YFR035C		226121	226465	R	345
NP_116694.1	CDC26		226963	227337	D	375
NP_116695.3	RSC8		227513	229186	R	1674
NP_116696.2	IRC5		229380	231941	D	2562
NP_116697.3	YFR039C		232012	233544	R	1533
NP_116698.3	SAP155		234242	237250	D	3009
NP_116699.3	ERJ5		237368	238255	R	888
NP_116700.1	KEG1		238458	239060	D	603
NP_116701.3	IRC6		239114	239827	R	714
NP_116702.1	DUG1		239992	241437	R	1446
NP_116703.5	YFR045W		241998	242999	D	1002
NP_116704.1	CNN1		243074	244159	R	1086
NP_602317.3	BNA6		244279	245166	R	888
NP_683716.1	RMD8		246146	248134	D	1989
NP_116707.3	YMR31		248523	248894	D	372
NP_116708.1	PRE4		249066	249866	R	801
NP_116709.3	RET2		250163	251803	R	1641
NP_116710.1	RPN12		252505	253329	D	825
NP_116711.3	HXK1		253592	255049	R	1458
NP_116714.1	IRC7		264204	265226	D	1023
NP_116715.3	YFR057W		269061	269516	D	456
NP_011251.1	COS12		2790	3932	D	1143
NP_011252.1	YGL262W		5312	5839	D	528
NP_011253.1	PAU11		6290	6652	R	363
NP_011254.1	YGL260W		6860	7090	D	231
NP_011255.1	YPS5		8470	8967	D	498
NP_076890.1	YGL258W-A		9162	9395	D	234
NP_011256.1	VEL1		11110	11730	D	621
NP_011257.1	MNT2		12481	14157	R	1677
NP_011258.2	ADH4		15159	16307	D	1149
NP_011259.1	ZRT1		20978	22108	D	1131
NP_011260.1	FZF1		22304	23203	D	900
NP_011261.1	HXK2		23935	25395	D	1461
NP_011262.1	RTG2		25718	27484	R	1767
NP_011263.2	HFM1		27921	31636	R	3716
NP_011264.2	RMR1		31910	32635	D	726
NP_011265.1	ZIP2		33098	35212	D	2115
NP_011266.1	PDE1		35653	36762	D	1110
NP_011267.1	BRR6		36933	37526	D	594
NP_011268.1	RAI1		37617	38780	R	1164
NP_011269.2	GUS1		39023	41149	D	2127
NP_011270.1	RTF1		41498	43174	D	1677
NP_011271.1	TAD1		43307	44509	D	1203
NP_011272.1	YGL242C		44652	45197	R	546
NP_011273.1	KAP114		45445	48459	D	3015
NP_011274.2	DOC1		48613	49365	D	753
NP_011276.1	CSE1		49552	52434	D	2883
NP_011277.1	HAP2		52731	53528	R	798
NP_011278.2	MTO1		53787	55796	R	2010
NP_011279.1	YGL235W		55279	55815	D	537
NP_011280.1	ADE5,7		56482	58890	D	2409
NP_011281.1	SEC15		59122	61854	D	2733
NP_011282.1	TAN1		62075	63002	D	928
NP_011283.1	EMC4		63048	63620	R	573
NP_011284.1	YGL230C		63772	64215	R	444
NP_011285.1	SAP4		64503	66959	R	2457
NP_011286.1	SHE10		67598	69331	D	1734
NP_011287.1	VID30		69671	72547	D	2877
NP_011288.1	OST5		72749	73158	R	410
NP_011289.1	MTC3		73340	73711	D	372
NP_011290.1	VRG4		76894	77907	D	1014
NP_011291.1	SDT1		78015	78857	R	843
NP_011292.1	COG1		79112	80365	R	1254
NP_011293.1	EDC1		80659	81186	R	528
NP_011294.1	NIF3		81426	82292	R	867
NP_011295.1	FRA2		82374	82736	D	363
NP_011296.1	MDM34		82878	84257	R	1380
NP_011299.1	KIP3		84885	87302	D	2418
NP_011300.1	CLG1		87981	89339	D	1359
NP_011302.1	SKI8		90054	91247	R	1194
NP_011303.1	VAM7		91432	92382	D	951
NP_011304.2	NCS6		92512	93591	D	1080
NP_011305.1	YPT32		93792	94460	D	669
NP_011306.1	MIG2		95858	97006	D	1149
NP_011307.1	SIP2		97338	98585	D	1248
NP_011308.1	SPT16		98969	102076	D	3108
NP_011309.1	CHC1		102543	107504	R	4962
NP_011310.1	POX1		108158	110404	D	2247
NP_001257675.1	YGL204C		111700	112005	R	306
NP_011312.1	KEX1		112475	114664	R	2190
NP_011313.1	ARO8		116059	117561	D	1503
NP_011314.2	MCM6		117854	120907	R	3054
NP_011315.3	EMP24		122694	123305	R	612
NP_011317.2	YIP4		123591	124298	D	708
NP_011318.2	MDS3		124698	129161	D	4464
NP_011319.2	DSD1		129883	131169	D	1287
NP_011320.3	GCN1		131525	139543	D	8019
